,disease,section,content
1151,Rheumatoid Arthritis,Causes and risk factors for rheumatoid arthritis,"RA is an autoimmune disorder where the immune system attacks healthy body tissues, causing inflammation and damage to the joints and sometimes to other body systems. RA has someknown triggers. If left untreated, the joint can become damaged, lose its shape and alignment, and ultimately be destroyed. A number of genetic and environmental factorsmay increaseyour chance of developing rheumatoid arthritis. Though it can affect anyone at any age, the chance of developing rheumatoid arthritisincreaseswith older age. Females assigned at birth (FAABs) are likelier to develop it than males assigned at birth (MAABs). Researchers believe that reproductive and hormonal factors may contribute to the development of this disease in females Otherrisk factorsinclude genetics, smoking, obesity, and diet. Learn more:Understanding the causes of rheumatoid arthritis (RA)."
1152,Rheumatoid Arthritis,Rheumatoid arthritis diagnosis,"Diagnosing RA can take time and may require multiple lab tests to confirm clinical examination findings. Your healthcare professional will use several tools to diagnose RA. First, they’ll ask about your symptoms and medical history. They’ll also perform a physical exam of your joints, in which they will look for symptoms like swelling or issues with reflexes or joint function. If they suspect RA, they’ll most likely refer you to a specialist called arheumatologist. Since no single test can confirm a diagnosis of RA, your healthcare professional or rheumatologistmay useseveral different types of tests. These include blood draws testing for antibodies or other substances elevated during inflammatory conditions. They may also send you for certain imaging tests, such as anultrasound,X-ray, orMRI, ti see if joint damage has occurred and how severe it might be. A complete evaluation and monitoring of other organ systems might be recommended for some people with RA, too. Learn more:How is rheumatoid arthritis diagnosed?andblood tests for rheumatoid arthritis."
1153,Rheumatoid Arthritis,Rheumatoid arthritis treatment,"There’sno curefor RA, butmedicationscan help manage the symptoms by controlling the inflammatory response. Decreasing the inflammation can also help to prevent further joint and organ damage. Treat to Target, a treatment philosophy that rheumatologists use to effectively manage RA, hasresultedin fewer symptoms and higher remission rates for those with RA. It involves: setting a specific testing goal that signals either remission or low disease state testing acute phase reactants and performing monthly monitoring to assess the progress of treatment and management plan switching medication regimen promptly if progress isn’t made In addition, certainalternative treatments,home remedies, and lifestyle adjustmentsmay helpimprove one’s quality of life when living with RA. These include specific types ofexercise, rest, andassistive devices. Particularly, your doctor or dietitian may recommend ananti-inflammatory dietto help with your symptoms. This type of diet includes foods that have lots of omega-3 fatty acids. Avoiding trigger foods andchoosing the right foodswill help you manage your RA. For many people, these treatments help them live an active life and reduce the risk of long-term complications. Your healthcare professional will work with you to determine the best treatment plan for your medical needs. Learn more:Treating ra flares and exacerbations."
1154,Rheumatoid Arthritis,Rheumatoid arthritis complications,"Having RA can put you at anincreased chanceof developing other health complications. Some people may also developcomplicationsfrom medications used to treat RA. destruction of the joints bone density loss (osteoporosis) anemia carpal tunnel syndrome heart disease lung disease eyes conditions likescleritis other autoimmune conditions such asSjögren disease vasculitis pneumonia kidney failure lymphoma amyloidosis In addition, living with RA can be challenging. It can negatively affect your day-to-day life by causing problems with mobility, insomnia, fatigue, and in some cases, mood disorders. TheHealthline Resource Center for RAcan help you navigate living with this disease. Learn more:Rheumatoid arthritis complications."
1155,Rheumatoid Arthritis,Frequently asked questions,"Though RA isn’t fatal, it can shorten your lifespan by3 to 10 years. Remission is possible but symptoms may return or other health issues can arise. The Arthritis Foundation reports that over50%of early deaths in those with RA are due to heart disease. However, disease progression differs among individuals, with those testing positive for RF and anti-CCPs progressing faster. Learn more:Can rheumatoid arthritis shorten your lifespan?andRA and life expectancy. Like RA, people withosteoarthritis (OA)can experience painful and stiff joints that make moving around difficult. People with OA may have joint swelling after extended activity, but OA isn’t considered an autoimmune disease. It’s related to the natural wear and tear of the joints as you age, or it can develop due to trauma. Learn more about these two types of arthritis. Rheumatoid arthritis isn’t considered either anautosomaldominant or recessivehereditary disease, but there are genes that may belinkedto the disease. Some environmental causes such as hormones, stress, or infection are also thought to be triggers. Rheumatoid arthritis can cause a variety of symptoms that may come and go in intensity. These periods of increased disease activity or flare are often followed by times of relief or remission when swelling and pain decrease or go away entirely."
1156,Rheumatoid Arthritis,Talk with your healthcare professional,"RA is a chronic disease that doesn’t currently have a cure. That said, most people with RA don’t have constant symptoms. Instead, they have flare-ups followed by relatively symptom-free periods called remissions. The course of the disease varies from person to person, and symptoms can range from mild to severe. Though symptoms may stop for extended periods, joint problems caused by RA will usually get worse over time. That’s why early treatment is so important to help delay serious joint damage. If you’re experiencing any symptoms or have concerns about RA, talk to your healthcare provider. Read this article in Spanish."
1157,Seizures,Overview,"A seizure is a sudden change in movement or awareness due to a change in the electrical function of the brain. Sudden bursts of electrical energy may affect movement, sensation and consciousness. Seizures are changes in the brain’s electrical activity. These changes can cause dramatic, noticeable symptoms, subtle or mild symptoms, or no symptoms at all. The symptoms of a major seizure include repetitive jerking and stiffening and a loss of control. Because some seizures can lead to injury or be a sign of an underlying medical condition, it’s important to seek treatment if you experience them."
1158,Seizures,What are the types of seizures?,"One way of classifying seizures is based on where they start in the brain. According to this classification method, seizure types include focal onset seizures, generalized onset seizures, and unknown onset seizures. Focal onset seizuresbegin in only one area of the brain. Some people may also refer to these as partial seizures. Focal onset seizures start in small areas of the brain—such as the area that controls leg movement on one side of the body—and can sometimes spread throughout the hemisphere (one side of the brain) or even to the other side of the brain. Medical professionals typically define focal onset seizures into two types: focal aware seizures and focal awareness-impaired seizures. During a focal aware seizure, you’ll remain conscious and be aware that something is happening, even if you don’t recognize it as a seizure. The symptoms of a focal aware seizure willdependon which part of the brain the seizure starts. Focal aware seizures may occur briefly, but can also spread to cause a focal impaired-awareness seizure or a secondarily generalized seizure. Often, when a focal awareness seizure precedes a more widespread seizure, this early stage is defined as a warning or an aura. This type of seizureaffectsyour consciousness. During a focal impaired-awareness seizure, you may not be able to move, talk, or hear as you did before. You may also not be able to remember the event. Focal impaired-awareness seizures can last for up to2 minutes. This type of seizure typically affects areas of the brain that affect your awareness. These seizures start in both sides of the brain simultaneously. Among the more common types of generalized onset seizures are: Tonic:Tonic seizures will result in your muscles stiffening up. Clonic:The convulsions in clonic seizures may cause abnormal, jerky movements of your limbs. You will likely lose consciousness during these seizures that can last for a few minutes. Tonic-clonic:Tonic-clonic seizuresinclude a combination of both tonic and clonic symptoms. Myoclonic:During a myoclonic seizure, you may experience sudden muscle spasms. These are typically too short-lived to affect consciousness and pass quickly. Myoclonic seizures may be of generalized onset as well as focal onset. Absence:People may also refer to these as petit mal seizures.Absence seizureslast for only a few seconds. They can cause you to blink repeatedly or stare into space. Other people may mistakenly think you’re daydreaming. Atonic:Duringatonic seizuresyour muscles suddenly go limp. Your head may nod, or your entire body could fall to the ground. Atonic seizures are brief, lasting about 15 seconds. People may refer to these seizures as drop attacks. Sometimes no one witnesses the beginning of a seizure. For example, someone may wake up in the middle of the night and observe their partner having a seizure."
1159,Seizures,What are the symptoms of a seizure?,"It’s possible to have an epilepsy condition that causes both focal and generalized seizures at different times, but not simultaneously. A focal seizure can progress to become a generalized seizure. Sometimes this happens slowly and sometimes it can happen rapidly. Sometimes warning symptoms occur before the seizure takes place. These can include: a sudden feeling of fear oranxiousness a feeling of being sick to your stomach dizziness a change in vision a jerky movement of the arms and legs that may cause you to drop things an out-of-body sensation aheadache déjà vu mood changes Signs that indicate a seizure is in progress include: losing consciousness, followed by confusion having uncontrollable muscle spasms drooling or frothing at the mouth falling having a strange taste in your mouth clenching your teeth biting your tongue having sudden,rapid eye movements making unusual noises, such as grunting losing control of bladder or bowel function"
1160,Seizures,What causes seizures?,"Seizures can stem from several health conditions. Some examples include: alcohol withdrawal brain infection, such asmeningitis brain injury during childbirth brain irregularity present at birth choking illegal drug use illegal drug withdrawal electrolyteimbalance electric shock epilepsy extremelyhigh blood pressure fever head trauma kidneyorliver failure low blood glucose levels stroke brain tumor vascular abnormality in the brain Seizures can run in families. Tell your doctor if you or anyone in your family has a history of seizures. In some instances, especially with young children, the cause of the seizure may be unknown."
1161,Seizures,What are the effects of seizures?,"Living with epilepsy and experiencing repeated seizures can have both short- and long-term effects. These can range from a drop in quality of life to increased risks of mental health conditions. Some seizures can cause you to lose total control of your body. This can lead to falls and other movements that can result in injury. Epilepsyincreasesthe risk of injuries, such as bruises or fractures. Being prone to seizures may also affect your quality of life. For example, you may no longer be able to drive. You may want to avoid situations where a seizure could cause serious harm, such as swimming or traveling alone. It’s important to wear a medical identification bracelet that tells emergency responders that you have epilepsy. If you have epilepsy, treatment is important to prevent future seizures and worsening epilepsy. And a prolonged seizure episode can be dangerous if it’s not treated. Whiledeathas a direct result of seizures is rare, the risk of premature death in people with epilepsy is up tothree times higherthan in the general population. Living with epilepsy can have an impact on your mental health. People living with epilepsymay becomedepressed or anxious due to the worry of having a seizure. You may also feel isolated, be worried about getting hurt or experience stigma. The changes in the brain that can cause epilepsy may be associated with the different brain changes that can cause psychiatric conditions,such asbipolar disorder, schizophrenia and severe depression."
1162,Seizures,How are seizures diagnosed?,"Your doctor may recommend specific tests to accurately diagnose a seizure and help ensure that treatments will be effective. They will consider your complete medical history and the events leading up to the seizure. For example,migraine, headaches,sleep disorders, and extreme psychological stress can cause symptoms that may seem like seizures. Lab tests may help your doctor rule out other conditions that may be considered during your diagnostic evaluation. The tests may include: blood testing to check for electrolyte imbalances spinal tapto rule out infection toxicology screening to test for drugs, poisons, or toxins Anelectroencephalogram (EEG)can help your doctor diagnose a seizure. This test measures your brain waves. Viewing brain waves during a seizure can help a doctor diagnose the type of seizure. An EEG can show evidence of seizure activity even when you aren’t having a seizure. Imaging scans, such as aCTorMRI, can also help by providing a clear picture of the brain. These scans allow your doctor to see abnormalities like brain damage or a tumor, which can trigger seizures."
1163,Seizures,How are seizures treated?,"Treatments for seizures depend on the cause. By treating the cause of the seizures, you may be able topreventfuture seizures from occurring. The treatment for seizures due to epilepsy include: Antiepileptic drugsare often the first treatment option for people experiencing multiple seizures. They target the signaling activities in specific brain cells and can effectively control seizures in approximately70%of cases. There are several types of antiepileptic drugs. You and your doctor may have to work to find out which is the best medication for treating your condition. Doctors may recommendsurgical optionsfor treating epilepsy and seizures if you have a seizure focus or a growth that needs to be removed. Surgical procedures to treat epilepsy include: resective surgery multiple subpial transection hemispherectomy corpus callosotomy Brain surgery for epilepsy can improve quality of life but does carry a risk of complications. Consult with your doctor to discuss whether surgery is the right option for you. In addition to brain surgery, surgeons can insert nerve stimulation devices in the body to treat epilepsy. Vagus nerve stimulationinvolvesplacing electrodes around thevagus nervein your neck and a generator for these electrodes in the upper chest. These devices then stimulate the nerve with electrical signals, which can help manage seizures. Responsive neurostimulation systems also work by stimulating the brain to manage seizures. Doctors can program these devices to assess and respond to nerve activity associated with seizures, often stopping them. These less invasive surgical options canhelpsafely reduce seizure frequency and severity. Doctors may also suggestdeep brain stimulationtherapy. This is where a surgeon places electrodes onto thethalamus. The thalamus is a part of the brain that processes signals from almost every sensory system. It regulates consciousness, alertness, and sleep cycles. Electrical signals from these electrodeshelp regulatethe excitability of certain parts of the brain. This can help reduce the frequency of seizures. These techniques only work for certain seizure types, and pre-surgical testing can help determine whether you would benefit from electrical stimulation device implantation. Following aketogenic dietmay be an alternative to surgery for some people living with epilepsy. Multiple studieshave linked the diet to positive outcomes in symptom management. However, the ketogenic diet and its variants can feel restrictive. Following the diet long term may be challenging for some. Be sure to check with your doctor before starting a new diet, especially as a mode of treatment."
1164,Seizures,Tips for living with epilepsy,"It can be challenging to live with epilepsy. But if you have the right support, it’s possible to live a full and healthy life. It’s important to continue taking antiepileptic drugs if your doctor prescribes them. It’s important to regularly check in with your doctor and tell them whether you’re experiencing any side effects of your medications. If you have your seizures under control for long periods, your doctormay recommenda gradual reduction in dosage. Some people may be able to identify specific triggers for their seizures. These can include: stress drinking alcohol lack of sleep Avoiding these triggers may help youmanageyour condition. Teach your friends and family more about epilepsy and how to care for you while a seizure occurs. This includes taking steps to reduce the risk of injury like cushioning your head, loosening tight clothing, and turning you on your side if vomiting occurs. Continue your usual activities if possible, and find ways to work around your epilepsy so you can maintain your lifestyle. For instance, if you’re no longer allowed to drive because you have seizures, you may decide to move to an area that’s walkable or has good public transportation, or use ride-share services so you can still get around. Making safety modifications to your place of residencecan reduce the riskof injury. This can include covering the corners of low objects, not locking the bathroom door when using it, and using guards on radiators and heaters. Find a doctor who makes you feel comfortable. Try relaxation techniques, such asyoga,meditation,tai chi, ordeep breathing. Find an epilepsy support group. You can find a local one by looking online or asking your doctor for recommendations."
1165,Seizures,Prevention,"In many instances, a seizure isn’t preventable. But maintaining a healthy lifestyle can give you the best chance at reducing your risk. You can try: gettingplenty of sleep eating abalanced dietand drinking plenty of fluids exercising regularly engage in stress-reducing techniques avoiding illegal drugs If you’re on medication for epilepsy or other medical conditions, take them as your doctor prescribes."
1166,Seizures,"How to help a person with epilepsy, or a person having a seizure","If you live with someone with epilepsy, there are some things you can do to help them: learning about their condition. making a list of their medications, doctors’ appointments, and other important medical information speaking with the person about their condition and what role they would like you to play in helping If you need help, reach out to their doctor or an epilepsy support group. TheEpilepsy Foundationis a helpful resource. However, it’s important to note that the foundation is an advocacy group, and may maintain bias on specific topics. If someone near you is having a seizure, there are a number of things you can do to help them. Clear the area around a person who’s having a seizure to prevent possible injury. If possible, place them on their side and provide cushioning for their head. Stay with the person. Call 911 or local emergency services as soon as possible if the person is pregnant or has never had a seizure before, or if they experience any of the following: a seizure that lasts longer than 5 minutes doesn’t wake up after the seizure repeat seizures It’s important to remain calm. While there’s no way to stop a seizure once it’s begun, you can provide help. TheCenters for Disease Control and Prevention (CDC)recommends: stay with the person having the seizure until it ends, or until they’re fully awake checking to see whether the person is wearing a medical bracelet removing their glasses or anything around their neck holding them in a hug or gently guiding them to the floor if they are standing positioning them on their sideif they are on the ground so that saliva or vomit leaks out of their mouth instead of down their windpipe placing something soft under their head notholding the person down while they’re having a seizure notputting anything in the person’s mouth Once a seizure is over, you should: check the person for injuries turn the person on their side, if not already stay with them until they’re fully awake and alert provide them with a safe area to rest not offer them anything to eat or drink until they’re fully conscious"
1167,Seizures,When to see a doctor,"Typically, a seizure doesn’t require emergency medical attention. However, there are some circumstances when you shouldcall 911 or emergency services: This is the first time the person has ever had a seizure. The seizure continues for more than 5 minutes. The person is having difficulty with breathing. The person is having trouble waking following the seizure. The person is injured during the seizure. The seizure occurs in water. The person is pregnant, has diabetes or heart disease. A second seizure happens soon after the first."
1168,Shingles,Overview,"Shingles is caused by the same virus as chickenpox and may be triggered by a weakened immune system, stress, or other health conditions. Symptoms of shingles may include a painful rash, fever, chills, headache, and fatigue, and could lead to complications like vision problems or Ramsay Hunt syndrome. Early treatment with antiviral medications can help speed up recovery, reduce symptom severity, and lower the risk of complications. The Centers for Disease Control and Prevention (CDC) recommends that adults over 50 receive the Shingrix vaccine to prevent shingles."
1169,Shingles,What is shingles?,"Shingles is an infection caused by the varicella-zoster virus, which is the same virus that causes chickenpox. Even after the chickenpox infection is over, the virus remains dormant or inactive in your nervous system for years before reactivating as shingles. Shingles is also referred to as herpes zoster. This type of viral infection is characterized by a red skin rash that can cause pain and burning. Shingles usually appears as astripe of blisterson one side of the body, typically on the torso, neck, or face. Most cases of shingles clear up within 3 to 5 weeks. According to theCenters for Disease Control and Prevention (CDC), approximately one in three people in the United States will have shingles at some point in their life. The condition can occur in the same person more than once, especially if they have risk factors, but this is uncommon. Keep reading to learn more about shingles, including symptoms, treatments, and complications."
1170,Shingles,Symptoms of shingles,"Thefirst symptoms of shinglesare usually pain and burning, according to theCDC. The pain is typically on one side of your body, and along a certain area of the skin called adermatome. A redrashoften follows. However, the rash does not always appear red. Depending on skin tone, the rash can appear dark pink, dark brown, or purplish. TheNational Institute on Aging (NIA)says that characterizations of a shingles rash include: rash that appears on one side of the body, such as on the chest, abdomen, back, or face a rash on your face and ears itchiness fluid-filled blisters that break easily burning sensation Some people with shingles experience symptoms beyond pain and rash. According to theAmerican Academy of Dermatology, these symptoms may include: fever chills headache fatigue muscle weakness Rare and seriouscomplicationsof shingles include: pain or rashthat involves an eye, which should be treated immediately to avoid permanent eye damage loss of hearingorintense pain in one ear,dizziness, orloss of tasteon your tongue, which can be symptoms ofRamsay Hunt syndromeand also require immediate treatment bacterial infectioncharacterized by skin that’s red, swollen, or warm to the touch Shingles usually occurs on one side of your back or chest, but you can also get a rash onone side of your face. If the rash is close to or in your ear, it can cause aninfectionthat could lead to: loss of hearing issues with your balance weakness in your facial muscles Shingles inside your mouth can be very painful. It may be difficult to eat and may affect your sense of taste. A shingles rash on your scalp can cause sensitivity when you comb or brush your hair. Without treatment,shingles on the scalpcan lead to permanent bald patches. For some people, shingles occurs in and aroundthe eye. This is referred to as ophthalmic herpes zoster or herpes zoster ophthalmicus. A blistering rash may appear on your eyelids, forehead, and sometimes the tip or side of your nose. You may experience symptoms like: burning or throbbing in your eye redness and tearing swelling blurred vision After the rash disappears, you may still have pain in your eye due to nerve damage. The pain eventually gets better for most people. Without treatment, shingles of the eyecan leadto serious problems, including long-termvision lossand permanent scarring due to swelling of the cornea. If you suspect you have shingles in and around your eye, contact a doctor right away. While shingles rashes usually develop around one side of your waistline, a stripe of blisters may appear along one side of your back or lower back. You can get a shingles rash onyour buttocks. Shingles usually only affects one side of your body, so you may have a rash on one buttock but not the other. As with other areas of the body,shingles on your buttocksmay cause initial symptoms like tingling, itching, or pain. After a few days, a red rash or blisters may develop. Some people experience pain but don’t develop a rash."
1171,Shingles,Stages of shingles,"According to the NIA, most shingles cases last from3 to 5 weeks. After the varicella-zoster virus initially reactivates, your skin may: tingle burn feel numb itch Shingles usually develops on one side of your body, often on your waist, back, or chest. Within about 5 days, you may see a red rash in that area. Small groups of oozing, fluid-filled blisters may appear a few days later in the same area. You may experience flu-like symptoms such as a fever, headache, or fatigue. During the next 10 days or so, the blisters will dry up and form scabs. The scabs will clear after a couple of weeks. After the scabs clear, some people continue to experience pain. This is calledpostherpetic neuralgia."
1172,Shingles,Shingles causes,"Shingles is caused by the varicella-zoster virus, which also causeschickenpox. If you’ve already had chickenpox, you can develop shingles when this virus reactivates in your body. The reason why shingles develop in some people but not others is unclear. It’s more common in older adults because of lower immunity to infections. Possiblerisk factorsfor shingles include: a weakened immune system emotional stress aging undergoing cancer treatments or major surgery"
1173,Shingles,Can you get shingles from the vaccine?,"One vaccine called Shingrix is currently approved by the Food and Drug Administration (FDA) to prevent shingles. TheCDCrecommends adults over 50 years old receive two doses of Shingrix separated by 2 to 6 months. The vaccine is over 90-percent effective. Whileside effectssuch as allergic reactions are possible from the vaccine, they are rare. And the CDC has no documented cases of the varicella-zoster virus being transmitted from people who were vaccinated."
1174,Shingles,Who’s at risk for shingles?,"Shingles can occur in anyone who has had chickenpox. However, certain factors put people at an increased risk of developing shingles. According to theNIA, these include: being 60 years or older having conditions that weaken your immune system, such asHIVorcancer having hadchemotherapyorradiation treatment taking medications that weaken your immune system, such as steroids or medications given after an organ transplant having had shingles before"
1175,Shingles,Can you catch shingles from someone?,"According to theNational Health Service, shingles is not contagious. But the varicella-zoster virus that causes it can be spread to another person who hasn’t hadchickenpox, and they could develop chickenpox. You can’t get shingles from someone with shingles, but you can get chickenpox. The varicella-zoster virus is spread when someone comes into contact with an oozing blister. It’s not contagious if the blisters are covered or have formed scabs. To prevent the varicella-zoster virus from spreading if you have shingles, be sure to keep the rash clean and covered. Do not touch the blisters, and make sure to wash your hands often. Avoid being around at-risk people, such as people who are pregnant or have weak immune systems."
1176,Shingles,When to contact a doctor,"It’s important to visit your doctor as soon as possible if you suspect you have shingles, especially if you’re somebody at an increased risk of developing it. TheAmerican Academy of Dermatologyrecommends visiting a dermatologist or other healthcare professional within 3 days to prevent long-term complications. Shingles typically clears up within a few weeks and does not commonly recur. If your symptoms have not lessened within 10 days, contact a doctor for a follow-up and reevaluation. If you need help finding a primary care doctor, then check out our FindCare tool here."
1177,Shingles,Shingles diagnosis,"Doctors usually diagnose shingles by examining your rashes and blisters. They also ask questions about your medical history. In rare instances, your doctor may need to test a sample of your skin or the fluid from your blisters. This involves using a sterile swab to collect a sample of tissue or fluid. Samples are then sent to a medical laboratory to confirm the presence of the virus."
1178,Shingles,Shingles treatment,"There’s no cure for shingles, but treating it as soon as possible can help prevent complications and speed up your recovery. Ideally, you should receive treatment within72 hoursof developing symptoms. Your doctor may prescribe medications to ease symptoms and shorten the length of the infection. The medications prescribed to treat shingles vary, but may include the following: Type Purpose Drug frequency Method antiviral medications, including acyclovir, valacyclovir, and famciclovir to reduce pain and speed recovery 2 to 5 times daily, as prescribed by your doctor oral anti-inflammatory drugs, including ibuprofen to ease pain and swelling every 6 to 8 hours oral narcotic medications or pain relievers to reduce pain likely to be prescribed once or twice daily oral anticonvulsants or tricyclic antidepressants to treat prolonged pain once or twice daily oral antihistamines, such as diphenhydramine (Benadryl) to treat itching every 8 hours oral numbing creams, gels, or patches, such as lidocaine to reduce pain applied as needed topical capsaicin (Zostrix) to help reduce the risk of a nerve pain called postherpetic neuralgia, which occurs after recovery from shingles applied as needed topical"
1179,Shingles,Shingles home remedies,"Home treatmentcan help ease your shingles symptoms. According to theNIA, these remedies include: taking cool baths or showers to clean and soothe your skin applying wetcold compressesto the rash to reduce pain and itching applyingcalamine lotionor making a paste with water and baking soda or cornstarch to reduce itching eating foods withvitamin A,vitamin B12,vitamin C, andvitamin E takingL-lysine supplementsto strengthen your immune system"
1180,Shingles,How to prevent shingles,"TheNIAsays that getting vaccinated can help keep you from developing severe shingles symptoms or complications. All children should receive two doses of thechickenpox vaccine, also known as a varicella immunization. Adults who’ve never had chickenpox should also get this vaccine. The immunization doesn’t necessarily mean that you won’t get chickenpox, but it does prevent it in 9 out of 10 people who get the vaccine. Adults who are50 years or oldershould get a shingles vaccine, also known as the varicella-zoster immunization, according to the CDC. This vaccine helps to prevent severe symptoms and complications associated with shingles. There is one shingles vaccine available, Shingrix (recombinant zoster vaccine). TheCDCnotes that if you have received Zostavax, a shingles vaccine used in the past, you should still get the Shingrix vaccine. Speak with your doctor to see if you need the shingles vaccine."
1181,Shingles,Shingles complications,"While shingles can be painful and bothersome on its own, it’s important to monitor your symptoms for potential complications: Eye damage can occur if you have a rash or blister too close to your eye. Thecorneais particularly vulnerable. Bacterial skin infections can easily occur from open blisters and can be severe. Pneumoniais possible. Ramsay Hunt syndromecan occur if shingles affects the nerves in your head and can result in partial facial paralysis or hearing loss if untreated. If treated within 72 hours, most people make a full recovery. Brain or spinal cord inflammation, such asencephalitisormeningitis, is possible. These complications are serious and life threatening."
1182,Shingles,Shingles in older adults,"Shingles is particularly common in older adults. The NIA says that of the 1 in 3 people who get shingles in their lifetime,about halfare over 60 years old. This is because the immune systems of older people are more likely to be compromised or weakened. Older adults with shingles are more likely to experience complications than the general population, including more extensive rashes and bacterial infections from open blisters. They’re also more vulnerable to bothpneumoniaand brain inflammation, so it’s important to visit a doctor early on for antiviral treatment. To prevent shingles, theCDCrecommends that adults over 50 years old receive the shingles vaccine."
1183,Shingles,Shingles and pregnancy,"While getting shingles during pregnancy is unusual, theNHSsays it is possible. If you come into contact with someone who has chickenpox or an active shingles infection, you can develop chickenpox if you have not been vaccinated or if you have never had it before. Depending on what trimester you’re in, having chickenpox during pregnancy can result in congenital anomalies. Getting a chickenpox vaccine before pregnancy can be an important step in protecting your child. Shingles is unlikely to cause complications during pregnancy, but it can still be unpleasant. Contact your doctor right away if you develop a rash during pregnancy. Find out more about shingles and pregnancy. Antiviral medications that treat shingles can be used safely during your pregnancy.Antihistaminescan also help reduce itching, and acetaminophen (Tylenol) can reduce pain. Speak with your doctor before taking any medication to treat shingles during pregnancy."
1184,Shingles,Frequently asked questions about shingles,"Here’s a look at some of the common questions people have about shingles. Shingles develop when something triggers the dormant varicella zoster. This is usually because something compromises your immune system. The trigger isn’t always known, but the virus is more common among elderly adults due to their decreased immunity. Otherpossible causesinclude stress, cancer treatment, viruses like HIV, organ transplants, taking immunosuppressive medications, or other medical reasons that reduce your immunity. The first signs of shingles are usually pain and burning on one half of your body in the affected skin area. The varicella-zoster virus that causes both chickenpox and shingles is airborne. It can spread if someone with shingles or chickenpox coughs or sneezes near you or shares your drinking glass or eating utensils. You can also get it if you come in contact with a chickenpox or shingles rash, by touching something in contact with contaminated hands, or by inhaling particles from the blisters. If you contract the virus and you haven’t had chickenpox, you will develop chickenpox. You can only get shingles if you’ve already had chickenpox and the virus is already inside your body. Some people with shingles only experience mild symptoms, such as tingling or itchy skin. For others, it can be very painful. Even a gentle breeze can cause pain. Some people experience intense pain without developing a rash. The pain from shingles usually occurs in the nerves of the: chest neck face lower back abdomen To help relieve the pain, a doctor may prescribe medications such as antivirals or anti-inflammatory medications. A2017 animal studyfound that shingles pain may be due to our immune mechanisms changing how our sensory neurons work after being triggered by the reactivation of the varicella-zoster virus. Although possible, it’s rare to experience shingles more than once. In a2019 study, researchers found the reoccurrence rate of shingles was 5.3 percent over an average of a 4.4-year follow-up period. The researchers found that experiencing shingles that lasted more than 30 days significantly increased the risk of reoccurrence. Other risk factors were: being 51 to 70 years old having shingles lasting longer than 90 days being female having a blood cancer, anautoimmune disease,high blood pressure, ordyslipidemia(high “bad” cholesterol or low “good” cholesterol) No, the Shingrix vaccine can’t cause shingles. According to theImmunization Action Coalition, the Shingrix vaccine only contains a small amount of the herpes zoster virus and doesn’t contain a live virus. The CDC says that about10 percentof people who receive the vaccine experience some redness, swelling, or pain around the injection site. If you have shingles, a condition that’s caused by the varicella-zoster virus, you will usually have an itchy or painful red rash with liquid-filled blisters on one side of your body. You can only develop shingles if you’ve previously had chickenpox. Shingles is not the same ashives, which are itchy, raised welts on your skin. Hives are usually caused by an allergic reaction to a medication, food, or something in your environment."
1185,Shingles,Takeaway,"Shingles is an infection caused by the same virus that causes chickenpox: the varicella-zoster virus. Once this virus infects someone, it remains dormant in their nervous system for a long period of time before reactivating as shingles. This type of viral infection is referred to as herpes zoster or shingles. It is marked by a red, painful rash with burning sensations. The rash can often appear in stripes on either side of the body, usually on the torso, neck, or face."
1186,Shoulder Pain,Overview,"Your shoulder is a ball and socket joint and very mobile. It may hurt for many reasons, from injury and overuse to chronic conditions or diseases. You need to know the cause to get effective treatment. The shoulder has a wide and versatile range of motion. When something goes wrong with your shoulder, it hampers your ability to move freely and can cause a great deal of pain and discomfort. Theshoulderis a ball-and-socket joint that has three main bones: the humerus (long arm bone), the clavicle (collarbone), and the scapula (also known as the shoulder blade). These bones are cushioned by a layer of cartilage. There are two main joints. The acromioclavicular joint is between the highest part of the scapula and the clavicle. The glenohumeral joint is made up of the top, ball-shaped part of the humerus bone and the outer edge of the scapula. This joint is also known as the shoulder joint. The shoulder joint is the most mobile joint in the body. It moves the shoulder forward and backward. It also allows the arm to move in a circular motion and to move up and away from the body. Shoulders get their range of motion from the rotator cuff. The rotator cuff is made up of four tendons. Tendons are the tissues that connect muscles to bone. It may be painful or difficult to lift your arm over your head if the tendons or bones around the rotator cuff are damaged or swollen. You can injure your shoulder by performing manual labor, playing sports, or even by repetitive movement. Certain diseases can bring about pain that travels to the shoulder. These include diseases of the cervical spine (neck), as well as liver,heart, orgallbladder disease. You’re more likely to have problems with your shoulder as you grow older, especially after age 60. This is because the soft tissues surrounding the shoulder tend to degenerate with age. In many cases, you can treat shoulder pain at home. However, physical therapy, medications, or surgery may also be necessary. Here’s what you need know about shoulder pain, including causes, diagnosis, treatment, and prevention."
